feature,raw_abs_corr,raw_mi,log_abs_corr,log_mi,poly_abs_corr,poly_mi,best_transform
station_ST-1487,0.0031686663915906866,0.0018784682109558304,0.0031686663915910865,0.0018784682109558304,0.0031686663915906866,0.0013299278455631836,log1p
station_ST-1484,0.002530499839746729,0.001855505288996362,0.002530499839746814,0.001855505288996362,0.002530499839746729,0.0013455769686112617,log1p
station_ST-469,0.0033462837370500393,0.0018536376153175382,0.003346283737050366,0.0018536376153175382,0.0033462837370500393,0.0014194617296636736,log1p
station_ST-457,0.005076014956867337,0.0018508664692866716,0.005076014956867789,0.0018508664692866716,0.005076014956867337,0.0013415978925337413,log1p
station_ST-476,0.00849704226285507,0.0018400034071497373,0.008497042262855957,0.0018400034071497373,0.00849704226285507,0.0013612395831748003,log1p
station_ST-473,0.007476829942695139,0.0018388787399388207,0.007476829942695282,0.0018388787399388207,0.007476829942695139,0.0012258017941952914,log1p
station_ST-480,0.004438101692845092,0.0018323187171152,0.004438101692845258,0.0018323187171152,0.004438101692845092,0.0014983218095157014,log1p
station_ST-1674,0.015653775795724453,0.0018321339468743147,0.015653775795725078,0.0018321339468743147,0.015653775795724453,0.0017581191761246728,log1p
station_ST-1033,0.005481927809326903,0.0018259910460098894,0.00548192780932743,0.0018259910460098894,0.005481927809326903,0.0014996437149639164,log1p
station_ST-465,0.006257231437498945,0.0018081270849723552,0.006257231437499506,0.0018081270849723552,0.006257231437498945,0.001337224108218571,log1p
station_ST-1480,0.0031294122945247542,0.0018041646125315225,0.0031294122945247746,0.0018041646125315225,0.0031294122945247542,0.0014113861742766076,log1p
station_ST-2261,0.0017908438226273938,0.0017907032822979119,0.0017908438226274474,0.0017907032822979119,0.0017908438226273938,0.00140841199502173,log1p
station_ST-93,0.0005824995628737492,0.001782647931316994,0.0005824995628738176,0.001782647931316994,0.0005824995628737492,0.0014699949501526532,log1p
station_ST-456,0.00569036308591064,0.0017661223759004585,0.005690363085910808,0.0017661223759004585,0.00569036308591064,0.0012123399791015288,log1p
station_ST-3169,0.009940151482501575,0.001741263023023798,0.00994015148250172,0.001741263023023798,0.009940151482501575,0.0014446866728210495,log1p
station_ST-451,0.004362946917735569,0.0016821374396727151,0.0043629469177356404,0.0016821374396727151,0.004362946917735569,0.0013708849718669924,log1p
is_daytime,0.017967793164915757,0.0016633149198170827,0.017967793164915882,0.0016633149198170827,0.017967793164915757,0.0016463702195395058,log1p
station_ST-1027,0.0021604230145002663,0.0016207018294078779,0.0021604230145003175,0.0016207018294078779,0.0021604230145002663,0.001241797572779646,log1p
station_ST-481,0.00746241506305434,0.0015289065532826385,0.007462415063054433,0.0015289065532826385,0.00746241506305434,0.0009815620485573717,log1p
강수량,0.0076987268092831036,0.001451913180623876,0.011195749514846653,0.0014553273046207238,0.0076987268092831036,0.0013040586552506284,log1p
hour_transit,0.011275632527881411,0.0011768668965661533,0.01127563252788142,0.0011768668965661533,0.011275632527881411,0.0,log1p
rain_flag,0.013762957526590935,0.001099147353666119,0.013762957526591256,0.001099147353666119,0.013762957526590935,0.0008758079795736506,log1p
전체_이용_거리,0.2928775165261358,0.041374455796562515,0.23701226536981304,0.04121385537101929,0.2928775165261358,0.08336466504388618,poly2
불쾌지수,0.0289068295874994,0.007539883781547019,0.032742847827435854,0.008050747429676264,0.0289068295874994,0.01760688557034662,poly2
is_restingday_0,0.05802514330855671,0.002674209213629375,0.05802514330855653,0.002674209213629375,0.05802514330855671,0.00351694045453943,poly2
is_restingday,0.05802514330855671,0.0026247212928369734,0.05802514330855598,0.0026247212928369734,0.05802514330855671,0.0028283961915454015,poly2
is_restingday_1,0.05802514330855671,0.0026247212928369734,0.05802514330855653,0.0026247212928369734,0.05802514330855671,0.0028283961915454015,poly2
is_weekday,0.051288098882033145,0.002258335149367241,0.0512880988820331,0.002258335149367241,0.051288098882033145,0.002669374318474027,poly2
is_weekday_1,0.051288098882033145,0.002258335149367241,0.051288098882031445,0.002258335149367241,0.051288098882033145,0.002669374318474027,poly2
