측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501051200,101,서북권,111181,은평구,26,28,19,0.0209,0.0165,0.6,0.003
202501051300,101,서북권,111181,은평구,22,28,21,0.0196,0.018,0.62,0.003
202501051400,101,서북권,111181,은평구,28,27,18,0.0188,0.0194,0.65,0.003
202501051500,101,서북권,111181,은평구,33,28,24,0.0209,0.0184,0.66,0.003
202501051600,101,서북권,111181,은평구,38,30,29,0.0177,0.0227,0.72,0.003
202501051700,101,서북권,111181,은평구,44,33,30,0.0174,0.0222,0.72,0.003
202501051800,101,서북권,111181,은평구,47,36,33,0.0174,0.0209,0.69,0.003
202501051900,101,서북권,111181,은평구,54,40,33,0.0157,0.0207,0.7,0.003
202501052000,101,서북권,111181,은평구,49,42,36,0.0174,0.0177,0.69,0.003
202501052100,101,서북권,111181,은평구,47,43,38,0.0171,0.0178,0.69,0.0029
202501052200,101,서북권,111181,은평구,55,45,30,0.0204,0.0142,0.66,0.0029
202501052300,101,서북권,111181,은평구,62,48,40,0.0197,0.0143,0.67,0.0029
202501060000,101,서북권,111181,은평구,58,50,36,0.0201,0.0139,0.68,0.003
202501060100,101,서북권,111181,은평구,62,54,43,0.0216,0.0124,0.71,0.0029
202501060200,101,서북권,111181,은평구,72,55,45,0.0212,0.0134,0.72,0.003
202501060300,101,서북권,111181,은평구,29,51,22,0.0349,0.0108,0.7,0.0031
202501060400,101,서북권,111181,은평구,36,48,27,0.0322,0.0144,0.74,0.003
202501060500,101,서북권,111181,은평구,40,45,33,0.0295,0.0136,0.74,0.0029
202501061600,101,서북권,111181,은평구,91,72,72,0.0301,0.0142,0.97,0.0035
202501061700,101,서북권,111181,은평구,95,73,72,0.0271,0.0157,0.99,0.0033
202501061800,101,서북권,111181,은평구,83,73,64,0.024,0.0185,1.02,0.0033
202501061900,101,서북권,111181,은평구,67,74,50,0.023,0.0202,0.9,0.0033
202501062000,101,서북권,111181,은평구,38,69,22,0.0241,0.0173,0.66,0.0032
202501062100,101,서북권,111181,은평구,32,64,16,0.0239,0.0165,0.59,0.0031
202501062200,101,서북권,111181,은평구,29,58,11,0.0264,0.0121,0.54,0.0032
202501062300,101,서북권,111181,은평구,26,51,8,0.0249,0.013,0.54,0.0032
202501070000,101,서북권,111181,은평구,27,47,9,0.0236,0.0139,0.54,0.0032
202501070100,101,서북권,111181,은평구,27,43,12,0.0234,0.0129,0.57,0.0032
202501070200,101,서북권,111181,은평구,22,39,12,0.0243,0.0109,0.58,0.0032
202501070300,101,서북권,111181,은평구,26,36,12,0.0244,0.0105,0.54,0.0034
202501070400,101,서북권,111181,은평구,28,34,10,0.0236,0.0111,0.51,0.0035
202501070500,101,서북권,111181,은평구,26,31,8,0.0231,0.0109,0.52,0.0035
202501070600,101,서북권,111181,은평구,32,30,10,0.0231,0.0102,0.53,0.0035
202501070700,101,서북권,111181,은평구,27,28,15,0.02,0.0142,0.58,0.0035
202501070800,101,서북권,111181,은평구,31,28,14,0.0179,0.0176,0.65,0.0036
202501070900,101,서북권,111181,은평구,36,30,17,0.0086,0.0283,0.7,0.0034
202501071000,101,서북권,111181,은평구,32,30,13,0.017,0.0199,0.61,0.0037
202501071100,101,서북권,111181,은평구,28,30,16,0.0187,0.0181,0.55,0.0036
202501071200,101,서북권,111181,은평구,35,31,12,0.0225,0.014,0.52,0.0037
202501071300,101,서북권,111181,은평구,33,31,11,0.0264,0.0107,0.49,0.0036
202501071400,101,서북권,111181,은평구,37,32,11,0.0264,0.0107,0.49,0.0036
202501071500,101,서북권,111181,은평구,40,34,11,0.0271,0.0104,0.49,0.0036
202501071600,101,서북권,111181,은평구,36,35,11,0.0271,0.0108,0.5,0.0038
202501071700,101,서북권,111181,은평구,31,35,13,0.0256,0.0132,0.55,0.0037
202501071800,101,서북권,111181,은평구,25,33,10,0.0249,0.014,0.58,0.0037
202501071900,101,서북권,111181,은평구,27,31,10,0.0232,0.016,0.59,0.0036
202501072000,101,서북권,111181,은평구,29,30,13,0.0195,0.0206,0.64,0.0036
202501072100,101,서북권,111181,은평구,25,29,8,0.0201,0.0183,0.6,0.0036
202501072200,101,서북권,111181,은평구,20,28,8,0.0168,0.0206,0.62,0.0036
202501072300,101,서북권,111181,은평구,23,27,7,0.0215,0.0155,0.55,0.0036
202501080000,101,서북권,111181,은평구,13,24,9,0.0224,0.0152,0.53,0.0035
202501080100,101,서북권,111181,은평구,16,22,5,0.0197,0.0139,0.53,0.0033
202501080200,101,서북권,111181,은평구,15,21,1,0.0204,0.0121,0.5,0.0031
202501080300,101,서북권,111181,은평구,15,19,3,0.0149,0.0165,0.54,0.0031
202501080400,101,서북권,111181,은평구,12,18,4,0.0129,0.02,0.58,0.0032
202501080500,101,서북권,111181,은평구,15,17,3,0.0156,0.0177,0.57,0.0032
202501080600,101,서북권,111181,은평구,17,17,6,0.0113,0.0268,0.66,0.0033
202501080700,101,서북권,111181,은평구,13,16,5,0.0122,0.0268,0.59,0.0036
202501080800,101,서북권,111181,은평구,17,16,6,0.0044,0.0376,0.81,0.0035
202501080900,101,서북권,111181,은평구,28,18,9,0.0074,0.0325,0.82,0.0035
202501081000,101,서북권,111181,은평구,27,19,10,0.0122,0.0254,0.7,0.0036
202501081100,101,서북권,111181,은평구,32,22,16,0.0144,0.0239,0.64,0.0039
202501081200,101,서북권,111181,은평구,48,28,20,0.0189,0.019,0.63,0.0042
202501081300,101,서북권,111181,은평구,59,33,28,0.0223,0.0165,0.62,0.0044
202501081400,101,서북권,111181,은평구,48,37,32,0.0269,0.0118,0.64,0.0042
202501081500,101,서북권,111181,은평구,49,41,29,0.028,0.0109,0.59,0.0041
202501081600,101,서북권,111181,은평구,44,42,19,0.0276,0.0108,0.57,0.0041
202501081700,101,서북권,111181,은평구,0,41,0,0,0,0,0
202501081800,101,서북권,111181,은평구,23,37,9,0,0,0,0
202501081900,101,서북권,111181,은평구,25,34,8,0.0237,0.0127,0.36,0.0033
202501082000,101,서북권,111181,은평구,28,31,10,0.0223,0.0127,0.36,0.0032
202501082100,101,서북권,111181,은평구,29,32,9,0.0223,0.0122,0.36,0.0031
202501082200,101,서북권,111181,은평구,32,33,7,0.0216,0.0131,0.38,0.0032
202501082300,101,서북권,111181,은평구,31,34,17,0.0217,0.0116,0.36,0.003
202501090000,101,서북권,111181,은평구,44,36,12,0.0226,0.0095,0.37,0.003
202501090100,101,서북권,111181,은평구,40,36,11,0.0241,0.0079,0.33,0.003
202501090200,101,서북권,111181,은평구,31,35,9,0.0264,0.0066,0.26,0.0028
202501090300,101,서북권,111181,은평구,27,34,7,0.0264,0.0067,0.24,0.0029
202501090400,101,서북권,111181,은평구,18,29,5,0.0276,0.0062,0.19,0.0028
202501090500,101,서북권,111181,은평구,17,26,2,0.0267,0.0076,0.21,0.0029
202501090600,101,서북권,111181,은평구,14,24,1,0.0264,0.008,0.22,0.0028
202501090700,101,서북권,111181,은평구,12,21,1,0.0251,0.01,0.23,0.0028
202501090800,101,서북권,111181,은평구,17,21,1,0.0235,0.0113,0.22,0.0029
202501090900,101,서북권,111181,은평구,18,20,1,0.024,0.0108,0.23,0.0029
202501091000,101,서북권,111181,은평구,24,21,3,0.0252,0.0093,0.23,0.003
202501091100,101,서북권,111181,은평구,21,22,6,0.0269,0.0067,0.24,0.003
202501091200,101,서북권,111181,은평구,32,23,5,0.0277,0.0059,0.24,0.0032
202501091300,101,서북권,111181,은평구,33,25,5,0.028,0.0053,0.25,0.003
