날짜,역명,구분,새벽,출근,낮,퇴근,출근_ratio,퇴근_ratio,commute_balance,위도,경도
2024-01-15,연신내,하차,7118,3329,10413,12802,0.09889489632226249,0.38031014199988117,-0.5872543549686938,37.618636,126.920625
2024-01-15,연신내,하차,7118,3329,10413,12802,0.09889489632226249,0.38031014199988117,-0.5872543549686938,37.619229,126.921038
2024-01-15,불광,승차,1442,7001,5679,2542,0.42012722035525685,0.1525444071051368,0.467253484229278,37.610873,126.92939
2024-01-15,불광,승차,1442,7001,5679,2542,0.42012722035525685,0.1525444071051368,0.467253484229278,37.610553,126.92982
2024-01-15,불광,하차,3213,2508,5928,6115,0.14118441792389103,0.3442355325377167,-0.4182998956279717,37.610873,126.92939
2024-01-15,불광,하차,3213,2508,5928,6115,0.14118441792389103,0.3442355325377167,-0.4182998956279717,37.610553,126.92982
2024-01-15,녹번,승차,1045,9104,4553,1616,0.5579115087633288,0.09903174408628508,0.6985074626865672,37.600927,126.935756
2024-01-15,녹번,하차,3497,1466,3522,6425,0.0983232729711603,0.43091884641180417,-0.6284374603979217,37.600927,126.935756
2024-01-15,응암,승차,1358,9571,5284,2068,0.5235490399868716,0.11312291450139489,0.6446430105679182,37.598605,126.915577
2024-01-15,응암,하차,4202,1624,4941,7651,0.08817461179281139,0.41540883917906396,-0.6498113207547169,37.598605,126.915577
2024-01-15,역촌,승차,285,1958,1291,534,0.48131760078662733,0.13126843657817108,0.5714285714285714,37.606021,126.922744
2024-01-15,역촌,하차,998,673,1329,1826,0.13945296311645256,0.37836717778698714,-0.4613845538215286,37.606021,126.922744
2024-01-15,불광,승차,418,1595,1736,827,0.3485576923076923,0.18072552447552448,0.3170933113129645,37.610873,126.92939
2024-01-15,불광,승차,418,1595,1736,827,0.3485576923076923,0.18072552447552448,0.3170933113129645,37.610553,126.92982
2024-01-15,불광,하차,771,633,1523,1614,0.13939660867650297,0.3554283197533583,-0.43658210947930576,37.610873,126.92939
2024-01-15,불광,하차,771,633,1523,1614,0.13939660867650297,0.3554283197533583,-0.43658210947930576,37.610553,126.92982
2024-01-15,독바위,승차,186,1626,878,265,0.550253807106599,0.08967851099830795,0.7197250132205183,37.618456,126.933031
2024-01-15,독바위,하차,761,236,772,1289,0.07717462393721386,0.421517331589274,-0.6904918032786885,37.618456,126.933031
2024-01-15,구산,승차,665,4177,2596,882,0.5020432692307693,0.10600961538461538,0.6513144890294524,37.611377,126.91727
2024-01-15,구산,하차,1259,723,2155,2452,0.10972833510396114,0.3721353771437244,-0.5445669291338583,37.611377,126.91727
2024-01-15,디지털미디어시티,승차,1246,6424,3624,4697,0.40172597085860795,0.293727721843537,0.1552917903066271,37.576958,126.898609
2024-01-15,디지털미디어시티,승차,1246,6424,3624,4697,0.40172597085860795,0.293727721843537,0.1552917903066271,37.576108,126.901391
2024-01-15,디지털미디어시티,승차,1246,6424,3624,4697,0.40172597085860795,0.293727721843537,0.1552917903066271,37.577475,126.900453
2024-01-15,디지털미디어시티,하차,2797,6458,3450,5201,0.3606612308723333,0.2904612978889758,0.10781370614975555,37.576958,126.898609
2024-01-15,디지털미디어시티,하차,2797,6458,3450,5201,0.3606612308723333,0.2904612978889758,0.10781370614975555,37.576108,126.901391
2024-01-15,디지털미디어시티,하차,2797,6458,3450,5201,0.3606612308723333,0.2904612978889758,0.10781370614975555,37.577475,126.900453
2024-01-16,구파발,승차,1987,10698,7343,2970,0.4651708844247326,0.12914166449256456,0.5654082528533801,37.636763,126.918821
2024-01-16,구파발,하차,4904,3008,6830,7635,0.1344237386602315,0.3411985520847299,-0.43474584233768676,37.636763,126.918821
2024-01-16,연신내,승차,3633,16209,11827,4125,0.45284125831144884,0.11524277811923786,0.5942755975213927,37.61878,126.9213
2024-01-16,연신내,승차,3633,16209,11827,4125,0.45284125831144884,0.11524277811923786,0.5942755975213927,37.618636,126.920625
2024-01-16,연신내,승차,3633,16209,11827,4125,0.45284125831144884,0.11524277811923786,0.5942755975213927,37.619229,126.921038
2024-01-16,연신내,하차,7724,3415,10555,12647,0.0994438135173699,0.36827698669229203,-0.5747727555721579,37.61878,126.9213
2024-01-16,연신내,하차,7724,3415,10555,12647,0.0994438135173699,0.36827698669229203,-0.5747727555721579,37.618636,126.920625
2024-01-16,연신내,하차,7724,3415,10555,12647,0.0994438135173699,0.36827698669229203,-0.5747727555721579,37.619229,126.921038
2024-01-16,불광,승차,1454,7108,5965,2586,0.41535674633319697,0.15111318880383334,0.46647410769548175,37.610873,126.92939
2024-01-16,불광,승차,1454,7108,5965,2586,0.41535674633319697,0.15111318880383334,0.46647410769548175,37.610553,126.92982
2024-01-16,불광,하차,3451,2514,6193,6021,0.13829143517245174,0.33120633698223223,-0.410896309314587,37.610873,126.92939
2024-01-16,불광,하차,3451,2514,6193,6021,0.13829143517245174,0.33120633698223223,-0.410896309314587,37.610553,126.92982
2024-01-16,녹번,승차,1091,9445,4696,1750,0.5561771287245318,0.10305028854080792,0.6873604287628405,37.600927,126.935756
2024-01-16,녹번,하차,3928,1547,3813,6284,0.09934497816593886,0.4035448240431544,-0.6049035883028987,37.600927,126.935756
2024-01-16,응암,승차,1436,9846,5516,2078,0.5216147488874762,0.11008688281415555,0.6514592418651459,37.598605,126.915577
2024-01-16,응암,하차,4485,1626,5127,7590,0.08636073932441045,0.40312300828553216,-0.6471354166666666,37.598605,126.915577
2024-01-16,역촌,승차,317,2006,1260,481,0.4936023622047244,0.11835629921259842,0.61318858061922,37.606021,126.922744
2024-01-16,역촌,하차,1085,661,1362,1779,0.13525680376509105,0.36402701043585023,-0.45819672131147543,37.606021,126.922744
2024-01-16,불광,승차,424,1602,1897,861,0.334866220735786,0.17997491638795987,0.30085261875761266,37.610873,126.92939
2024-01-16,불광,승차,424,1602,1897,861,0.334866220735786,0.17997491638795987,0.30085261875761266,37.610553,126.92982
2024-01-16,불광,하차,841,616,1604,1535,0.134029590948651,0.33398607484769366,-0.4272431427243143,37.610873,126.92939
2024-01-16,불광,하차,841,616,1604,1535,0.134029590948651,0.33398607484769366,-0.4272431427243143,37.610553,126.92982
2024-01-16,독바위,승차,181,1610,894,267,0.5453929539295393,0.09044715447154472,0.715503462972829,37.618456,126.933031
2024-01-16,독바위,하차,836,255,815,1224,0.08146964856230032,0.39105431309904154,-0.6551724137931034,37.618456,126.933031
