dong,month,age_group,총인구,1인가구수,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 많은 집단,생활서비스 이용이 많은 집단,lat,lng
갈현2동,1,3,4229.0,926.64,134.32999999999998,66.22,119.36,9.47,101.24,37.602766,126.928839
갈현2동,2,0,6481.0,851.6400000000001,107.5,81.99000000000001,91.57,204.88,90.07,37.602766,126.928839
갈현2동,2,1,7589.0,828.61,102.88,62.79,99.84,175.44,89.18,37.602766,126.928839
갈현2동,2,2,6596.0,728.09,86.28,52.71,79.50999999999999,50.1,85.17,37.602766,126.928839
갈현2동,2,3,4282.8,949.78,139.43,72.0,109.04,9.69,106.98,37.602766,126.928839
갈현2동,3,0,6468.0,846.39,109.63,82.16,97.41,195.83,98.12,37.602766,126.928839
갈현2동,3,1,7561.0,821.84,104.87,59.35,97.96,170.98000000000002,89.48,37.602766,126.928839
갈현2동,3,2,6631.0,735.88,88.27000000000001,57.31,85.37,49.66,87.34,37.602766,126.928839
갈현2동,3,3,4471.1,984.69,139.79,75.45,128.7,9.69,112.42,37.602766,126.928839
갈현2동,4,0,6456.0,841.62,104.68,83.76,92.89,194.11,90.53,37.602766,126.928839
갈현2동,4,1,7534.0,825.6899999999999,100.84,70.82000000000001,94.14,165.99,89.6,37.602766,126.928839
갈현2동,4,2,6666.0,733.16,79.9,58.870000000000005,77.31,49.46,83.07,37.602766,126.928839
갈현2동,4,3,4812.0,1045.11,138.39,80.64,126.14,10.8,115.93,37.602766,126.928839
갈현2동,5,0,6445.0,829.38,87.47,92.3,85.65,193.33,90.17,37.602766,126.928839
갈현2동,5,1,7504.0,831.73,99.65,72.39999999999999,95.33,169.66,85.52,37.602766,126.928839
갈현2동,5,2,6702.0,736.9300000000001,79.27,63.59,77.4,50.35,85.76,37.602766,126.928839
갈현2동,5,3,4852.0,1053.09,143.63,79.0,116.78,10.77,114.64,37.602766,126.928839
갈현2동,6,0,6434.0,826.78,88.91,73.64999999999999,82.91,197.39,90.58,37.602766,126.928839
갈현2동,6,1,7478.0,819.64,95.22,64.08,93.42,173.79999999999998,85.55,37.602766,126.928839
갈현2동,6,2,6735.0,749.54,87.22,60.74,80.6,51.8,93.21,37.602766,126.928839
갈현2동,6,3,4830.0,1048.5,144.6,85.38,134.76999999999998,11.45,108.87,37.602766,126.928839
갈현2동,7,0,6420.0,831.5,87.53,82.36,87.92,200.34,95.19,37.602766,126.928839
갈현2동,7,1,7449.0,811.66,91.99,63.84,95.2,179.46,81.98,37.602766,126.928839
갈현2동,7,2,6770.0,753.48,83.94,65.53,84.23,53.83,89.50999999999999,37.602766,126.928839
갈현2동,7,3,4836.0,1035.99,128.76,75.61,123.7,11.53,101.82,37.602766,126.928839
갈현2동,8,0,6409.0,838.81,86.14999999999999,78.1,90.07,201.11,96.73,37.602766,126.928839
갈현2동,8,1,7422.0,813.47,89.09,64.17,91.07,179.11,87.24000000000001,37.602766,126.928839
갈현2동,8,2,6804.0,756.49,81.31,69.17,89.2,53.76,86.71,37.602766,126.928839
갈현2동,8,3,4862.0,1055.65,125.49,77.03,126.88,11.38,107.02,37.602766,126.928839
갈현2동,9,0,6400.0,829.77,96.83,73.91,88.35,196.02,96.78,37.602766,126.928839
갈현2동,9,1,7393.0,815.68,88.52,62.3,97.11,180.66,86.55,37.602766,126.928839
갈현2동,9,2,6839.0,758.75,79.86,64.59,86.32,53.43,88.39,37.602766,126.928839
갈현2동,9,3,4854.0,1061.66,129.47,72.62,128.64,11.51,108.32,37.602766,126.928839
갈현2동,10,0,6387.0,822.85,95.53,80.64,87.76,192.56,95.86,37.602766,126.928839
갈현2동,10,1,7367.0,815.25,89.22,60.84,91.0,173.42000000000002,90.51,37.602766,126.928839
갈현2동,10,2,6874.0,771.1800000000001,84.89,62.49,84.83,53.46,90.02,37.602766,126.928839
갈현2동,10,3,4848.0,1111.09,134.11,73.58,130.7,12.05,115.17,37.602766,126.928839
갈현2동,11,0,6376.0,809.51,92.01,77.19,85.48,181.4,86.38,37.602766,126.928839
갈현2동,11,1,7338.0,812.9100000000001,90.74,63.01,93.86,167.05,90.41,37.602766,126.928839
갈현2동,11,2,6909.0,780.1,85.54,65.45,84.32,54.34,89.32,37.602766,126.928839
갈현2동,11,3,4765.0,1046.95,132.01,78.73,121.35,11.41,110.93,37.602766,126.928839
갈현2동,12,0,5727.0,728.79,82.28999999999999,61.58,80.6,165.73000000000002,80.89,37.602766,126.928839
갈현2동,12,1,5479.0,599.54,72.92,45.5,68.75,118.08,65.62,37.602766,126.928839
갈현2동,12,2,6938.0,782.4300000000001,91.32,68.22,84.25,53.18,88.3,37.602766,126.928839
갈현2동,12,3,5385.0,1209.15,176.12,87.75,133.05,12.08,128.31,37.602766,126.928839
구산동,1,0,6501.0,585.8299999999999,73.51,46.69,63.88,187.62,67.53,37.611074,126.907302
구산동,1,1,7817.0,812.1700000000001,111.15,63.71,89.44,167.34,83.38,37.611074,126.907302
구산동,1,2,7797.0,736.77,93.62,47.95,77.94,56.77,75.8,37.611074,126.907302
구산동,1,3,5090.4,1035.13,193.8,73.28999999999999,142.82999999999998,10.91,97.16,37.611074,126.907302
구산동,2,0,6487.0,586.1800000000001,77.82,40.71,68.12,193.53,63.53,37.611074,126.907302
구산동,2,1,7789.0,807.2,103.44,54.16,95.33,177.07,82.88,37.611074,126.907302
구산동,2,2,7839.0,739.4399999999999,89.76,49.48,75.85,57.33,76.10000000000001,37.611074,126.907302
구산동,2,3,5297.0,1081.0,195.44,75.36,166.64,11.86,102.26,37.611074,126.907302
구산동,3,0,6476.0,580.79,81.55,44.93,71.35,185.22,66.03999999999999,37.611074,126.907302
구산동,3,1,7760.0,807.1899999999999,107.7,53.42,94.96,169.57999999999998,80.47,37.611074,126.907302
구산동,3,2,7884.0,744.26,96.66,42.260000000000005,81.12,54.15,76.58,37.611074,126.907302
구산동,3,3,5580.9,1137.94,222.26,78.98,184.28,11.31,102.8,37.611074,126.907302
구산동,4,0,6462.0,573.0799999999999,71.67,43.96,61.82,181.71,64.77,37.611074,126.907302
구산동,4,1,7731.0,804.26,104.86,54.5,84.42,163.79,82.69,37.611074,126.907302
구산동,4,2,7929.0,750.4,94.58,46.79,81.33,54.3,74.53999999999999,37.611074,126.907302
구산동,4,3,5780.0,1166.86,189.46,75.28999999999999,150.32,11.89,108.87,37.611074,126.907302
구산동,5,0,6450.0,568.67,67.52,50.489999999999995,56.76,179.15,68.95,37.611074,126.907302
구산동,5,1,7703.0,815.82,102.12,66.12,85.99,170.26,84.71000000000001,37.611074,126.907302
구산동,5,2,7972.0,747.88,84.93,54.79,79.14,58.6,71.6,37.611074,126.907302
구산동,5,3,5783.0,1176.95,181.62,77.58,147.84,12.43,112.24,37.611074,126.907302
구산동,6,0,6439.0,566.12,68.41,40.69,53.09,172.6,64.11,37.611074,126.907302
구산동,6,1,7675.0,805.3499999999999,99.28,53.27,80.69,166.61,81.68,37.611074,126.907302
구산동,6,2,8015.0,755.9399999999999,89.47,51.98,74.82000000000001,59.68,76.01,37.611074,126.907302
구산동,6,3,5721.0,1150.83,194.85,78.78999999999999,157.8,12.98,105.92,37.611074,126.907302
구산동,7,0,6427.0,570.8100000000001,64.39,46.78,52.989999999999995,180.13,66.68,37.611074,126.907302
구산동,7,1,7646.0,805.8399999999999,95.78,60.48,78.09,174.16,82.91,37.611074,126.907302
구산동,7,2,8060.0,758.43,91.05,51.42,73.03,62.09,80.19,37.611074,126.907302
구산동,7,3,5762.0,1145.39,186.97,74.43,129.55,13.05,111.48,37.611074,126.907302
구산동,8,0,6414.0,567.22,63.28,45.69,54.84,185.44,60.91,37.611074,126.907302
구산동,8,1,7618.0,799.76,95.26,57.510000000000005,81.52,172.82,82.18,37.611074,126.907302
구산동,8,2,8104.0,753.83,89.75,51.21,72.85,62.72,73.99,37.611074,126.907302
구산동,8,3,5737.0,1160.62,187.03,79.71000000000001,133.81,12.95,112.47,37.611074,126.907302
구산동,9,0,6400.0,560.76,66.72,45.620000000000005,62.23,178.17000000000002,65.27,37.611074,126.907302
구산동,9,1,7589.0,800.4499999999999,114.47,59.32,84.26,168.91,81.87,37.611074,126.907302
구산동,9,2,8147.0,754.03,98.73,50.76,72.98,59.86,74.36,37.611074,126.907302
구산동,9,3,5691.0,1160.7,218.41,76.17,132.4,13.03,110.76,37.611074,126.907302
구산동,10,0,6388.0,555.6,73.61,43.32,63.45,167.31,63.69,37.611074,126.907302
구산동,10,1,7560.0,796.99,123.48,52.46,88.17999999999999,154.48000000000002,79.51,37.611074,126.907302
구산동,10,2,8191.0,766.16,112.64,46.82,83.7,58.09,80.16,37.611074,126.907302
구산동,10,3,5770.0,1232.18,256.9,83.03,176.56,12.71,116.76,37.611074,126.907302
구산동,11,0,6377.0,550.69,67.84,38.47,60.84,159.51999999999998,64.06,37.611074,126.907302
구산동,11,1,7531.0,795.6,114.02,49.58,92.17,153.18,77.09,37.611074,126.907302
구산동,11,2,8235.0,782.68,114.33,52.83,90.28,59.45,86.92,37.611074,126.907302
구산동,11,3,5673.0,1158.58,238.81,73.97999999999999,185.21,12.54,112.91,37.611074,126.907302
구산동,12,0,6130.0,527.69,59.25,39.38,54.79,164.51,64.28,37.611074,126.907302
구산동,12,1,6049.0,634.94,87.9,45.48,76.63,121.31,61.99,37.611074,126.907302
구산동,12,2,8196.0,786.66,104.17,56.35,92.4,59.25,82.57,37.611074,126.907302
구산동,12,3,6558.0,1386.69,278.07000000000005,90.39,212.26,14.01,130.75,37.611074,126.907302
대조동,1,0,7524.0,2428.93,236.92,284.28,226.86,288.34000000000003,219.54,37.612256,126.923141
대조동,1,1,7442.0,1777.63,215.16,194.18,220.98,198.66,175.99,37.612256,126.923141
대조동,1,2,6866.0,1274.25,159.78,138.74,153.86,54.129999999999995,133.24,37.612256,126.923141
대조동,1,3,4786.0,1487.4,199.66,116.09,222.3,11.04,160.16,37.612256,126.923141
대조동,2,0,7511.0,2451.46,265.6,269.65,250.4,289.49,223.47,37.612256,126.923141
대조동,2,1,7414.0,1781.44,227.98,178.42,215.39,198.85,192.5,37.612256,126.923141
대조동,2,2,6904.0,1281.93,173.3,139.46,161.53,51.73,132.29,37.612256,126.923141
대조동,2,3,4844.0,1519.0,257.84000000000003,120.62,232.56,10.8,165.99,37.612256,126.923141
대조동,3,0,7499.0,2452.22,256.68,288.62,252.75,275.6,220.44,37.612256,126.923141
대조동,3,1,7387.0,1775.18,241.16000000000005,187.74,211.22,196.57,176.38,37.612256,126.923141
대조동,3,2,6942.0,1294.5,163.62,135.73,157.72,49.54,138.01,37.612256,126.923141
대조동,3,3,4902.0,1518.23,228.86,120.29,218.45,10.52,167.32999999999998,37.612256,126.923141
대조동,4,0,7488.0,2423.21,236.78,285.72,222.35,277.18,227.21,37.612256,126.923141
대조동,4,1,7360.0,1774.09,225.19,195.05,198.83,195.79,175.72,37.612256,126.923141
대조동,4,2,6980.0,1304.02,165.0,138.98,141.06,51.89,136.94,37.612256,126.923141
대조동,4,3,4961.0,1520.6,204.92,109.2,195.7,11.14,163.57999999999998,37.612256,126.923141
대조동,5,0,7476.0,2292.63,219.28,263.96,198.25,247.33,204.26,37.612256,126.923141
대조동,5,1,7332.0,1721.54,226.64,179.74,194.33,175.71,172.87,37.612256,126.923141
대조동,5,2,7019.0,1287.9,160.89,128.61,148.63,51.95,135.17000000000002,37.612256,126.923141
대조동,5,3,5020.0,1551.32,211.61,122.55,190.22,10.76,157.93,37.612256,126.923141
대조동,6,0,7464.0,2406.16,222.28,274.68,217.76,252.72,215.23,37.612256,126.923141
대조동,6,1,7305.0,1750.85,213.19,199.98,195.93,179.73,177.98,37.612256,126.923141
대조동,6,2,7057.0,1305.74,165.04,145.04,160.09,53.400000000000006,141.59,37.612256,126.923141
대조동,6,3,5078.0,1573.01,183.87,119.83,215.77,11.2,166.91,37.612256,126.923141
대조동,7,0,7453.0,2435.23,255.66,307.7,234.42,258.59,225.7,37.612256,126.923141
대조동,7,1,7278.0,1763.04,235.42,212.94,202.21,180.15,189.97,37.612256,126.923141
대조동,7,2,7097.0,1320.07,178.32,140.54,154.66,51.16,141.1,37.612256,126.923141
대조동,7,3,5138.0,1577.83,244.77,119.64,217.22,10.89,169.35,37.612256,126.923141
